sequence,mean_estimate,std_estimate,mean_abs_error
Ramsey,7.60917057675792,3.1028169108358092,6.60917057675792
Hahn Echo,3.8652283254851354,1.8781796673141546,2.8652283254851354
CPMG-2,1.6208630911262425,0.8279087280327977,0.7833952051175144
CPMG-4,12.520220868740713,7.064712804910064,11.565599023513105
CPMG-8,65.65592762528297,30.12053730578005,64.65592762528297
