trial,sequence,B_true,B_estimated,abs_error
16,CPMG-4,1.0,9.545023745718666,8.545023745718666
16,CPMG-8,1.0,52.92808565508241,51.92808565508241
17,Ramsey,1.0,4.786164220357768,3.786164220357768
17,Hahn Echo,1.0,2.6166317759234095,1.6166317759234095
17,CPMG-2,1.0,1.471381398053808,0.47138139805380797
17,CPMG-4,1.0,15.655254677937243,14.655254677937243
17,CPMG-8,1.0,15.51497912162196,14.51497912162196
18,Ramsey,1.0,7.0420788751823435,6.0420788751823435
18,Hahn Echo,1.0,2.2115481627916136,1.2115481627916136
18,CPMG-2,1.0,0.34462111657376104,0.655378883426239
18,CPMG-4,1.0,6.4040244665803945,5.4040244665803945
18,CPMG-8,1.0,25.943166977221875,24.943166977221875
19,Ramsey,1.0,11.972530740235849,10.972530740235849
19,Hahn Echo,1.0,3.239739226144439,2.239739226144439
19,CPMG-2,1.0,1.9472955268025924,0.9472955268025924
19,CPMG-4,1.0,4.902504760488707,3.902504760488707
19,CPMG-8,1.0,63.59100072289579,62.59100072289579
