freq_over_1_T,Ramsey,Hahn Echo,CPMG-2,CPMG-4,CPMG-8,best_seq
0.05,1.2582278877365014,89.66753634822163,319.1718572866633,1012.3215795507139,2315.377453350085,Ramsey
0.13389830508474576,1.3966581158513942,12.990995586727283,51.97146107300092,197.82984153518223,699.4798187281766,Ramsey
0.21779661016949153,1.728918166331909,5.287311065493565,23.731096643399447,94.40623244101988,361.4620177389887,Ramsey
0.3016949152542373,2.4755025896681,3.0803969691799002,16.91142104667667,70.22013291797619,277.65110980762864,Ramsey
0.3855932203389831,4.553420778149058,2.1946514180967926,17.820615163823167,78.15048439111659,315.90081973731844,Hahn Echo
0.46949152542372885,19.1629362083803,1.8014683655343915,46.24880643904805,218.03344200823884,899.5839114438947,Hahn Echo
0.5533898305084747,13.071956187264119,1.661243953636747,20.16163936327247,104.69402607168747,441.5155439949456,Hahn Echo
0.6372881355932205,6.524638469374435,1.7087145784104145,6.476849663183016,38.350965277962146,165.79176616989733,Hahn Echo
0.7211864406779662,5.701323263331618,1.9769921681733968,3.5589520805194517,25.346026619166263,112.78160157212601,Hahn Echo
0.8050847457627119,6.65521446260481,2.660617561421377,2.4343128771240807,22.88359926335748,105.41697183954822,CPMG-2
0.8889830508474578,10.76227586323185,4.6318414694770045,1.9154687989962165,29.1362333098737,140.43800957938151,CPMG-2
0.9728813559322036,44.61566048627127,19.780631733855845,1.682578170137686,98.20393426024253,531.6329386890014,CPMG-2
1.0567796610169493,23.530733788300942,10.367903890468236,1.6318109000919672,39.50306402529555,195.1530764456576,CPMG-2
1.140677966101695,11.471782243188777,4.838204886319012,1.7488107457482076,15.590775107027877,83.39356087410339,CPMG-2
1.224576271186441,9.645448431184564,3.703459964031766,2.1002741836997143,10.54646923854822,60.54385677673045,CPMG-2
1.3084745762711867,10.902686246336682,3.5006646135671677,2.9382205114232423,9.548869632458603,59.302914689729135,CPMG-2
1.3923728813559324,17.300003024397746,3.8280014219888048,5.374484902126626,12.042194804158044,81.9797572081058,Hahn Echo
1.4762711864406781,77.28447558453703,4.758729043999585,26.53817220057321,42.20609395353533,320.74073815766627,Hahn Echo
1.5601694915254238,32.868701836967524,6.755917939838104,12.134959399147203,13.798852138632096,120.04327835188046,Hahn Echo
1.6440677966101698,16.254156464065243,11.221525426771052,6.326541563216367,5.0802484260303995,52.46988741138116,CPMG-4
1.7279661016949155,13.566957473923676,23.03415925876546,5.485162234880519,2.9949210413521303,38.867968444253954,CPMG-4
1.8118644067796612,15.225373587319249,66.20211258843769,6.3192577218356725,2.1567171680423165,38.87928072524223,CPMG-4
1.8957627118644071,24.202365152139013,383.0673601282583,10.214555701808317,1.7688152917232693,55.4783129529583,CPMG-4
1.9796610169491529,120.79152963534978,52442.59680922533,51.826489428162375,1.6092912879464685,265.4648939180227,CPMG-4
2.0635593220338984,41.27012129411962,1808.3346207724444,17.382065232820754,1.6100416285853734,72.35679226922842,CPMG-4
2.1474576271186443,20.886455980950892,157.48486915587512,8.719059185857798,1.776128945877003,33.282989593669406,CPMG-4
2.23135593220339,17.471398122206935,45.89422119687263,7.148344837229258,2.1954993810529113,25.051276960706424,CPMG-4
2.3152542372881357,19.6311219853205,21.172926386738556,7.7837124783644445,3.173089152896869,25.281101916797926,CPMG-4
2.3991525423728817,31.509840489558208,12.66685861053362,11.945926195216249,6.099554275590896,36.41472052485334,CPMG-4
2.483050847457627,181.65659993704134,9.071257008416643,64.73154268837423,40.32793160402094,188.23418122364586,Hahn Echo
2.566949152542373,48.88200639011175,7.500012344991338,15.995193781045533,12.090736711348377,45.36720392379554,Hahn Echo
2.6508474576271186,25.3821635323464,7.0654551777121215,7.372132943265154,6.852728756885976,21.0693671418015,CPMG-4
2.7347457627118645,21.364224569721046,7.630535657135542,5.217171903424776,6.200791499384578,15.83389637424478,CPMG-2
2.8186440677966105,24.12821242220736,9.797837513155736,4.4869801168609635,7.442504772348728,15.938273169796393,CPMG-2
2.902542372881356,39.268448308683666,17.026357173175956,4.404708942035333,12.769028647051591,23.123324051257626,CPMG-2
2.986440677966102,272.91915203747385,121.16548453745646,4.825412900933479,95.31912851106688,153.8194024737288,CPMG-2
3.0703389830508474,55.82310518715359,24.489372203004663,5.8666204239679,19.448587419365396,24.70782593597077,CPMG-2
3.1542372881355933,29.753689025004242,12.40836418610739,7.966033124596371,10.732483934773974,11.583965507513339,CPMG-2
3.2381355932203393,25.25081916586245,9.487263141473623,12.337390796015937,9.364807326759879,8.517100931020972,CPMG-8
3.3220338983050848,28.725411623770075,8.843978174226672,22.928004332393165,10.904366458809243,8.290170324383556,CPMG-8
3.4059322033898307,47.5307528672828,9.523357391491075,59.425860923501176,18.39980150326923,11.563498260063263,Hahn Echo
3.4898305084745767,425.00451670977935,11.686490775910753,827.5459680685514,167.23966729606866,85.4892534815082,Hahn Echo
3.573728813559322,62.19040290518087,16.46083698666432,193.06498197165567,24.80464775475834,10.071656795831377,CPMG-8
3.657627118644068,34.012491176071435,27.359229026512715,178.50019820268815,13.714943698523399,4.266618815532232,CPMG-8
3.741525423728814,29.13651344598466,57.08264302024402,291.4209297746348,11.850646024825952,2.663274341735753,CPMG-8
3.8254237288135595,33.43202762827968,172.78851329741678,852.0371275798284,13.689755066991973,1.9937574081904255,CPMG-8
3.9093220338983055,56.35709231600458,1191.9838394363003,81937.13186017987,23.22113761815894,1.687624903050632,CPMG-8
3.993220338983051,729.1885975355045,2794626.085271263,4199.359793423496,323.03003568337033,1.5794263452013855,CPMG-8
4.077118644067797,68.06391025029255,2009.4511298725868,2796.199381853444,27.72604975405996,1.6235522343135733,CPMG-8
4.161016949152542,38.16918414165594,236.82364323785546,821.4741659949638,15.554256643118917,1.841678848272525,CPMG-8
4.244915254237289,33.026608670739606,74.81209908326045,336.1498592785891,13.40298544833323,2.3498455640539495,CPMG-8
4.328813559322034,38.25797143851728,35.69171127584254,211.37575005651848,15.41800581265992,3.545220072305278,CPMG-8
4.41271186440678,65.81709372400671,21.712472376406026,216.81100693677521,26.270974606802802,7.430963065144996,CPMG-8
4.496610169491526,1641.8508235277466,15.699034602947442,3401.516747516952,647.3616841560479,216.65599215701434,Hahn Echo
4.580508474576272,73.51024223116931,13.070046495344315,98.07262695963578,28.550943252310912,11.020974890558087,CPMG-8
4.664406779661017,42.23363132400419,12.40254107748871,36.174054317358944,16.10978242736226,7.048586599550606,CPMG-8
4.7483050847457635,36.92639603871237,13.544678676533234,19.587029923976395,13.789263507403584,6.756842941671145,CPMG-8
4.832203389830509,43.21382565614067,17.796211548419535,12.900367250645862,15.747539000156705,8.572320421861834,CPMG-8
4.9161016949152545,75.99155516171655,33.15946464902323,9.744781496845164,26.98139674609225,16.242293820846918,CPMG-2
