time_s,B_total,B_cabel_only,B_motor,B_other_device,B_drift,B_white_noise
0.0,0.9395692593573599,1.3904107661148464,0.11996204976543974,-0.556295554919127,0.0,-0.01450800160379917
0.00025,0.7918009099981023,1.3289505475837287,0.14845340736777204,-0.5755180796867785,0.03989231434898084,-0.14997727961560092
0.0005,0.7339755847729414,1.2520974160057334,0.17675101646649005,-0.5892863070491632,-0.04288216271002123,-0.0627043779400977
0.00075,0.9311022444910919,1.1626462622558644,0.2048179454780369,-0.5974697528226761,-0.09808490718038418,0.259192696760251
0.001,0.7864249948899538,1.0635896713735995,0.23261756388248275,-0.599990860891143,-0.09260150880625378,0.1828101293312683
0.00125,0.4833371893978995,0.9579866981952018,0.2601135900305063,-0.5968257382203019,-0.10595649610613159,-0.03198086450137518
0.0015,0.15671997769759732,0.8488339705512131,0.28727013849504884,-0.5880043812967627,-0.10660288403458205,-0.28477686601731994
0.00175,0.06953403937108094,0.7389453734106396,0.3140517669058651,-0.5736103918454357,-0.142716559872078,-0.26713614922790996
0.002,0.5004175273963599,0.6308459995808392,0.3404235222058233,-0.553780184519634,-0.10532934985183406,0.18825753998116543
0.00225,-0.027376052767062897,0.5266851933896829,0.36635098626860724,-0.5287016940727223,-0.07227493193903237,-0.31943560641359847
0.0025,0.22239231250078623,0.42817241221010827,0.3918003208182629,-0.49861259426370264,-0.0694292042028052,-0.029538622061077095
0.00275,0.9381706748494911,0.3365383485648811,0.4167383115919841,-0.4637980453765132,-0.021575971775836623,0.6702680318449757
0.003,0.3822230474642102,0.25252236406252493,0.44113241168848116,-0.4245879917002446,-0.0017339461790752617,0.11489020959252395
0.00325,0.40736674793569116,0.17638586217723462,0.4649507840453766,-0.38135403458257827,-0.0381781647030929,0.18556230099875112
0.0035,-0.026166965685685828,0.10794984770551688,0.4881623429901712,-0.3345059106911351,-0.0225144277236567,-0.2652588179665821
0.00375,-0.09709216092230524,0.046653661339195115,0.5107367948105704,-0.28448760885893626,-0.06316959417002346,-0.3068254140431111
0.004,0.46558555068709856,-0.00836919425553561,0.5326446772912046,-0.2317731623153948,-0.02587227929268835,0.19895550925951277
0.00425,0.22023056686701595,-0.058203048468541796,0.5538573981651591,-0.17686215618068296,-0.027973629425203903,-0.07058799722371448
0.0045,0.607625573429665,-0.10405532968499223,0.5743472724301169,-0.12027499279984147,-0.03579674690653664,0.29340537039091846
0.00475,0.35550737311943653,-0.14716078573284777,0.5940875584804216,-0.06254795978796425,-0.06465474924630278,0.03578330940612967
